FID,POSTO,ESTACAO,ESTACAO_ID,LAT,LONG,LAT_DECIMAIS,LONG_DECIMAIS,ALT,T_MED_JAN,T_MED_FEV,T_MED_MAR,T_MED_ABR,T_MED_MAI,T_MED_JUN,T_MED_JUL,T_MED_AGO,T_MED_SET,T_MED_OUT,T_MED_NOV,T_MED_DEZ,T_MED_ANO,T_MAX_ANO,T_MIN_ANO,PRECIP_MD_JAN,PRECIP_MD_FEV,PRECIP_MD_MAR,PRECIP_MD_ABR,PRECIP_MD_MAI,PRECIP_MD_JUN,PRECIP_MD_JUL,PRECIP_MD_AGO,PRECIP_MD_SET,PRECIP_MD_OUT,PRECIP_MD_NOV,PRECIP_MD_DEZ,PRECIP_MD_ANO
1,2895653,TIBAUGROSSOS,1,4°50',37°15',-4.83,-37.25,4.0m,28,27.79,27.42,27.11,26.84,26.3,26.05,26.38,26.95,27.46,27.72,27.97,27.17,32.65,22.29,84.9,131.2,200.4,275.7,134.1,41.6,14.7,5,10.8,3.8,4.8,12.2,892.1
2,2895974,AREIABRANCA,2,4°57',37°8',-4.95,-37.13,5.0m,28,27.8,27.4,27.1,26.8,26.2,26,26.3,26.9,27.4,27.7,28,27.1,32.6,22.3,39.4,94.6,158.5,170.9,89.5,33.9,16.8,2.8,2.3,0.7,2.1,8,609.5
3,3804176,BARAUNAS,3,5°5',37°38',-5.08,-37.63,110.0m,27.6,27.3,26.8,26.6,26.3,25.8,25.7,26.1,26.7,27.2,27.5,27.7,26.8,32.8,21.7,46.5,124.5,218.7,223.6,125.5,61.6,43.1,6.3,2.8,1,3,18.8,845.4
4,3804468,VENEZAFZMOSSORO,4,5°13',37°40',-5.22,-37.67,105.0m,27.8,27.3,26.9,26.7,26.4,25.9,25.8,26.2,26.9,27.4,27.7,27.9,26.9,32.9,21.7,45.4,122.6,208.3,192.6,116.6,62.8,41.5,9.6,4.3,1.5,1.1,25.2,833.6
5,3804685,S.FRANCISCOFZ,5,5°19',37°35',-5.32,-37.58,20.0m,28.5,27.9,27.4,27.2,26.9,26.4,26.4,27,27.7,28.2,28.4,28.6,27.5,33,22.2,39.1,109.3,203.7,177.2,109.2,61.3,45.7,10.5,7.1,1.7,3,29.7,811.5
6,3804941,SITIODOSGOIS,6,5°27',37°48',-5.45,-37.8,80.0m,28.2,27.6,27.1,26.9,26.6,26.1,26.2,26.7,27.5,28,28.3,28.4,27.3,33.1,21.9,55.8,118.5,207.9,195.1,108.9,44.6,33.5,6,3.8,0.9,1.9,21.5,801.9
7,3804998,GOV.DIXSEPTROSADO,7,5°28',37°31',-5.47,-37.52,36.0m,28.4,27.8,27.3,27.1,26.8,26.3,26.3,26.8,27.6,28.1,28.4,28.6,27.5,33,22.1,54.7,113.7,181.6,178.9,103.7,42.7,18.5,6.4,3.1,3.3,4.5,22.4,729.7
8,3805118,ALAGOINHAFZMOSSORO,8,5°4',37°25',-5.07,-37.42,100.0m,27.58,27.26,26.85,26.61,26.32,25.75,25.56,25.93,26.57,27.08,27.35,27.61,26.71,32.65,21.74,87,110.4,281.9,263.4,171.4,80,47.7,19.8,3.9,5.9,0.7,6.6,1134.7
9,3805431,MOSSORO,9,5°12',37°21',-5.2,-37.35,15.0m,28.1,28.4,26.9,27,27.9,27.2,27.3,27.4,28,28,28.1,28.3,27.7,32.8,22.2,50.1,102.6,161.6,173.4,106,44,23.9,8.4,2.6,1.8,6.7,18.9,672.5
10,3805643,SANTANAMOSSORO,10,5°20',37°18',-5.33,-37.3,115.0m,27.6,27.2,26.8,26.5,26.2,25.6,25.4,25.8,26.5,27.1,27.4,27.6,26.6,32.6,21.6,62.8,114.5,174.6,178.3,103.1,45.7,31.5,6.9,4.9,2.3,5.7,25.3,770
11,3805689,TRAPIASTACU,11,5°20',37°4',-5.33,-37.07,120.0m,27.36,27.07,26.7,26.43,26.08,25.43,25.18,25.53,26.21,26.77,27.08,27.35,26.43,32.41,21.56,71.3,106.3,180,179.2,110.9,48.5,26.2,4.3,0.7,0.5,3.2,11.3,720.6
12,3805957,HIPOLITO,12,5°27',37°13',-5.45,-37.22,230.0m,26.7,26.4,26,25.8,25.4,24.7,24.5,24.8,25.6,26.1,26.5,26.7,25.8,32.1,20.9,37.5,78.4,139.1,149,79,25.5,16.1,2.4,1.1,1.7,2.5,10.8,551.3
13,3806275,MACAU,13,5°7',36°38',-5.12,-36.63,2.0m,27.2,27.4,27.3,27,27,26.3,26,26.1,26.4,26.8,26.8,27.2,26.8,32.3,22.2,33.3,67,129.9,146.8,82.4,40.9,25.8,7.9,4,1.3,1,8.6,537.6
14,3806557,PENDENCIAS,14,5°15',36°43',-5.25,-36.72,20.0m,27.8,27.6,27.3,26.9,26.6,25.9,25.6,25.9,26.5,27.1,27.4,27.7,26.9,32.3,22.1,33.8,80.3,166.6,153.9,85.5,34.8,23.7,6.5,4.2,1.4,3.3,11.2,603.6
15,3806636,CARNAUBAISACU,15,5°20',36°50',-5.33,-36.83,40.0m,27.8,27.5,27.2,26.8,26.5,25.8,25.6,25.9,26.6,27.2,27.5,27.7,26.8,32.4,21.9,39.6,95.7,161.4,188,88.9,45.1,34.1,5.9,3.9,0.7,1,12.2,701.8
16,3806794,MONSENHORHONORIO,16,5°21',36°32',-5.35,-36.53,65.0m,27.3,27.2,26.9,26.6,26.2,25.5,25.1,25.3,26,26.6,26.9,27.2,26.4,32,21.8,32.1,92.8,164.8,151.4,73.2,37.9,27.9,3.1,4.6,0.5,2.1,12.2,556.7
17,3807238,GUAMARE,17,5°7',36°19',-5.12,-36.32,5.0m,27.4,27.4,27.2,26.8,26.4,25.7,25.2,25.4,26,26.6,26.9,27.2,26.5,31.9,22.1,45.5,98.5,201.2,194.3,140.9,64.2,68.8,16,5.6,0.4,2.9,18.7,901.9
18,3807546,CORREGOS,18,5°17',36°17',-5.28,-36.28,60.0m,27.1,27.1,26.9,26.5,26.1,25.3,24.8,25,25.6,26.2,26.6,26.9,26.2,31.8,21.8,28.4,59.2,121.8,122.8,50.7,23.2,17.9,4.7,1.6,0.1,1.5,15,453.7
19,3807888,JANDAIRA,19,5°25',36°4',-5.42,-36.07,235.0m,25.7,25.9,25.8,25.3,24.8,23.9,23.2,23.3,23.9,24.6,25.1,25.4,24.7,30.7,20.8,33.9,73.3,127.6,125.4,54.4,33.8,33.9,5.2,2.9,2.4,0.6,11.8,525.9
20,3808272,S.MIGUELDOGOSTOSOTOUROS,20,5°7',35°39',-5.12,-35.65,4.0m,26.69,27.06,27.02,26.43,25.98,25.14,24.34,24.37,24.93,25.62,25.98,26.28,25.82,31.04,22.04,31.7,64.1,111.1,149,71.3,86.3,45.1,37.9,8.7,1.7,5.6,20.6,637.8
21,3808324,PEDRAGRANDE,21,5°9',35°53',-5.15,-35.88,10.0m,26.93,27.17,27.07,26.54,26.11,25.3,24.62,24.71,25.28,25.95,26.3,26.6,26.05,31.36,22.03,48.9,51.1,132.5,157.8,87.1,88.6,62.5,19.6,10.6,4,2.3,17.3,691.8
22,3808687,CANABRAVA,22,5°18',35°34',-5.3,-35.57,90.0m,26.1,26.5,26.5,25.9,25.4,24.5,23.6,23.6,24.2,25,25.4,25.7,25.2,30.7,21.5,44.3,87,145.5,152.8,127.7,117.9,92.5,42.2,22.7,8.7,8.3,15.1,902.3
23,3808725,QUEIMADAS,23,5°22',35°53',-5.37,-35.88,180.0m,25.9,26.1,26.1,25.5,25,24.1,23.4,23.4,24,24.7,25.2,25.5,24.9,30.7,21.1,18.7,36.2,84.2,99.4,65,57.3,33,18.5,3.3,2.3,3.7,5.4,427.3
24,3809407,TOUROS,24,5°12',35°28',-5.2,-35.47,4.0m,26.5,27,26.9,26.3,25.8,25,24.1,24.1,24.7,25.4,25.8,26.1,25.6,30.8,22,41.9,93.9,149.6,201.9,164.8,174.8,123.4,52.1,25.5,7,9.1,13.3,1037.1
25,3809949,CABOS.ROQUETOUROS,25,5°29',35°16',-5.48,-35.27,5.0m,26.44,26.83,26.82,26.2,25.69,24.8,23.96,23.98,24.58,25.34,25.72,26.03,25.53,30.56,21.86,47.9,91.6,121.7,126.3,192,210.8,154.5,73.9,25.9,13,7.8,20.7,926.9
26,3813889,TABULEIROGRANDE,26,5°56',38°4',-5.93,-38.07,180.0m,27.9,27.1,26.5,26.4,26.1,25.5,25.6,26.3,27.2,27.8,28,28.2,26.9,33.1,21.3,59.2,108.9,224.5,192.8,104.2,42.3,19.1,4.7,2,4.1,5.3,20.4,817.6
27,3814163,PEDRASDEABELHAS,27,5°35',37°42',-5.58,-37.7,70.0m,28.3,27.7,27.2,27,26.7,26.2,26.2,26.8,27.6,28.1,28.4,28.6,27.4,33.1,21.9,49.3,107.3,186.2,186.6,113.3,50.8,26.9,7.4,1.3,2.6,4.4,22.2,764.2
28,3814342,APODI,28,5°40',37°48',-5.67,-37.8,305.0m,28.4,27.8,27.1,26.8,26.7,26.2,26.2,26.8,27.5,28,28.2,28.3,27.3,32.3,20.6,50.6,124.8,186.2,166.7,100.7,44.9,33.2,7,3.6,3.1,3.6,18.6,742.5
29,3814433,DIAMANTEFZAPODI,29,5°44',37°51',-5.73,-37.85,90.0m,28.33,27.65,27.08,26.9,26.61,26.1,26.18,26.81,27.63,28.22,28.46,28.62,27.38,33.14,21.79,63.4,87.5,193.8,227.8,89.3,67.6,42.6,14.3,2.9,0.1,2.7,14.5,776.9
30,3814446,SANTACRUZACAPODI,30,5°44',37°47',-5.73,-37.78,70.0m,27.45,27.3,26.98,26.66,26.34,25.7,25.37,25.65,26.25,26.78,27.08,27.36,26.58,32.38,21.87,49.9,126.3,199.7,199.3,111,55.4,42.8,9.8,2.9,5,3,29,858
31,3814519,MALHADAVERMELHAAC,31,5°47',37°55',-5.78,-37.92,72.0m,28.5,27.8,27.2,27,26.8,26.3,26.4,27,27.9,28.5,28.7,28.9,27.6,33.2,21.9,52,96,182.8,191.4,91.3,41.9,22.9,3.4,1.5,1.8,3.9,13.1,702.4
32,3814589,CARAUBAS,32,5°47',37°34',-5.78,-37.57,146.0m,27.8,27.2,26.7,26.5,26.2,25.6,25.5,26.1,26.9,27.5,27.8,28,26.8,32.9,21.4,51.7,89.3,167.3,160.3,93.5,36.2,25.6,6.6,1.9,3.8,5.7,19.1,660.8
33,3814606,ITAU,33,5°50',37°59',-5.83,-37.98,130.0m,28.2,27.4,26.9,26.7,26.4,25.9,26,26.6,27.5,28.1,28.3,28.5,27.2,33.2,21.6,57.4,99.7,193.8,192.3,90.5,50.5,25.3,7.9,2.9,2.7,6.3,20.2,753.2
34,3814809,RIACHODACRUZ,34,5°56',37°58',-5.93,-37.97,240.0m,27.3,26.7,26.1,26,25.6,25.1,25.1,25.7,26.6,27.2,27.4,27.6,26.4,32.9,21,59.8,96.5,217.8,200.2,92.2,49.3,25,5,3.3,5.1,3.8,21.7,787
35,3814939,UMARIZAL,35,5°59',37°49',-5.98,-37.82,210.0m,27.5,26.9,26.3,26.2,25.8,25.2,25.2,25.8,26.7,27.3,27.6,27.8,26.5,32.9,21.1,65.2,123.2,243.1,228.4,97.8,65.4,38.8,7,4.1,11.9,5.3,28.3,920.1
36,3814962,OLHODAGUADOSBORGES,36,5°58',37°42',-5.97,-37.7,159.0m,27.8,27.2,26.6,26.5,26.1,25.5,25.6,26.1,27,27.6,27.9,28.1,26.8,33,21.4,52.5,108.8,194.1,224.9,90.3,44.4,30.4,6.6,5.4,4.8,4.4,19,788
37,3815064,VOLTAACU,37,5°30',37°11',-5.5,-37.18,235.0m,26.7,26.4,26,25.8,25.4,24.7,24.4,24.8,25.5,26.1,26.4,26.7,25.7,32.1,20.9,42.2,99.5,161,160.1,85,35,33.9,7.3,7,4.9,1.4,8.8,657.3
38,3815249,UPANEMA,38,5°38',37°16',-5.63,-37.27,45.0m,28.2,27.7,27.3,27,26.7,26.1,26,26.6,27.3,27.9,28.2,28.4,27.3,32.8,21.9,42.6,78,176.5,167.4,94.3,44.7,21.6,7.3,3,2.4,6.9,14.7,661.5
39,3815583,PARAU,39,5°47',37°6',-5.78,-37.1,38.0m,28.3,27.8,27.3,27,26.7,26.1,26,26.5,27.3,27.9,28.2,28.4,27.3,32.8,21.9,38.3,96.8,173.8,168.8,85.4,31.5,22.7,3.3,2.5,0.9,3,12.9,654.5
40,3815588,BELDROEGASAC,40,5°46',37°4',-5.77,-37.07,50.0m,28.1,27.7,27.2,26.9,26.6,26,25.8,26.3,27.1,27.7,28,28.3,27.1,32.7,21.9,47.3,106.9,166.3,182.1,101.4,43.4,34.4,4.8,4.5,2.4,6.2,21.2,735.8
41,3815732,MORCEGOAC,41,5°52',37°21',-5.87,-37.35,70.0m,28.2,27.7,27.2,26.9,26.6,26,26,26.5,27.3,28,28.3,28.5,27.3,32.9,21.8,76.2,105.3,198.1,227.9,97.2,55.6,34.8,11.5,6.7,3.4,6,23.5,822.6
42,3815737,AUGUSTOSEVERO,42,5°51',37°19',-5.85,-37.32,65.0m,28.2,27.7,27.2,26.9,26.6,26,26,26.5,27.3,27.9,28.2,28.5,27.3,32.9,21.8,60.9,105.9,204.7,193.9,108.1,40.3,20.5,6.7,3.5,3,4.4,15.5,773.8
43,3816123,ACU,43,5°35',36°54',-5.58,-36.9,68.0m,27.8,27.4,27,26.7,26.4,25.7,25.5,25.9,26.6,27.2,27.6,27.8,26.8,32.5,21.8,44.6,86.7,144.5,135.6,94.6,38.9,17.4,5.9,2.2,2.1,4.2,15.4,585.9
44,3816216,MENDUBIMAC,44,5°38',36°56',-5.63,-36.93,73.0m,27.8,27.4,27,26.7,26.4,25.7,25.5,25.9,26.7,27.3,27.6,27.8,26.8,32.5,21.8,59.4,91.6,173,167,87.5,39,37.2,8.5,6.9,1.9,5.2,20.9,732.5
45,3816235,PATAXOACIPANGUACU,45,5°37',36°50',-5.62,-36.83,70.0m,27.7,27.4,27,26.7,26.3,25.7,25.4,25.8,26.6,27.1,27.5,27.8,26.8,32.4,21.7,53.1,100.8,162.6,138.1,70.8,29.3,21.3,3.3,1.5,2.2,6.8,18.4,624.7
46,3816382,ANGICOS,46,5°40',36°36',-5.67,-36.6,109.0m,27.2,27,26.7,26.4,26,25.2,24.9,25.2,25.9,26.6,26.9,27.2,26.3,32.1,21.5,42.1,83.1,146.1,137.1,65,26.3,11.9,3.9,1,3.2,3.6,12.8,543.5
47,3816583,PIXOREDEBAIXO,47,5°47',36°36',-5.78,-36.6,122.0m,27.2,27,26.6,26.3,25.9,25.1,24.8,25.2,25.9,26.5,26.9,27.2,26.2,32.1,21.4,37.7,77.2,134.7,123.3,61.5,19,2.5,3.7,0,0.9,3.6,9.2,476.1
48,3816617,S.RAFAEL,48,5°48',36°55',-5.8,-36.92,70.0m,27.9,27.5,27,26.8,26.4,25.7,25.6,26,26.8,27.4,27.7,28,26.9,32.5,21.7,45,88.9,183.9,180.6,92.1,37.7,16.8,4,2.7,1.6,4.3,13.1,717.6
49,3816933,BARAODESERRABRANCA,49,5°59',36°51',-5.98,-36.85,305.0m,26.2,25.9,25.5,25.3,24.8,23.9,23.6,24,24.8,25.5,25.9,26.2,25.1,31.6,20.4,76.4,99.7,213.9,220,93.3,38.1,28.6,11.7,5.2,10.2,4.9,28,832.4
50,3816972,SANTANADOMATOS,50,5°58',36°39',-5.97,-36.65,140.0m,27.2,26.9,26.5,26.2,25.8,25,24.8,25.1,25.9,26.6,27,27.3,26.2,32.1,21.3,52.5,124.4,197.6,180.2,83.5,29.2,18.2,6.1,2.8,3.6,4.8,20.4,737
51,3817025,PEDROAVELINO,51,5°31',36°23',-5.52,-36.38,97.0m,27.1,27,26.7,26.3,25.9,25.1,24.7,25,25.6,26.3,26.6,26.9,26.1,31.9,21.5,32,80.1,142.5,148.6,64.7,29.5,19.1,3.1,1.6,1.2,4.2,9.5,537.3
52,3817179,PEDRAPRETA,52,5°35',36°7',-5.58,-36.12,160.0m,26.4,26.4,26.2,25.8,25.3,24.5,23.9,24.1,24.7,25.4,25.8,26.2,25.4,31.2,21.2,21,66.1,121.7,121.5,65.1,38,38.1,14.1,6.2,0.6,2.5,12.3,509.2
53,3817451,LAGES,53,5°42',36°15',-5.7,-36.25,198.0m,26.3,26.3,26,25.6,25.2,24.3,23.8,24,24.7,25.4,25.8,26.1,25.3,31.3,20.9,26.2,64.1,111,107.6,48.7,24.1,15.2,4.7,2.3,0.8,1.4,7.4,414.7
54,3817598,CAICARADORIODOVENTO,54,5°46',36°1',-5.77,-36.02,180.0m,26.2,26.3,26.1,25.6,25.1,24.2,23.7,23.9,24.5,25.3,25.7,26,25.2,31.1,21,33.3,65.3,120.5,115.1,73.5,40.4,40.6,18.9,10,1.1,2.8,14.8,551.7
55,3817745,RECANTO,55,5°52',36°17',-5.87,-36.28,400.0m,24.9,25,24.8,24.4,23.8,22.8,22.2,22.4,23.1,23.9,24.4,24.8,23.9,30,19.8,30.9,46.3,94.7,89.1,48.1,29.1,19.3,10.1,3.4,1.3,2.2,8.3,400.8
56,3817988,S.TOME,56,5°58',36°4',-5.97,-36.07,175.0m,26.4,26.3,26.1,25.7,25.2,24.3,23.8,24.1,24.8,25.5,25.9,26.3,25.4,31.2,21,24.4,50,102.6,96.7,57.4,44.1,32.3,9.7,1.8,2.1,2.7,7.3,425.7
57,3818039,JOAOCAMARA,57,5°32',35°49',-5.53,-35.82,140.0m,26.2,26.4,26.3,25.8,25.2,24.4,23.7,23.8,24.4,25.1,25.5,25.9,25.2,30.9,21.2,36.4,67.9,107.5,118.6,95.2,87.5,71.6,30.8,13,4.5,5.5,10.5,644.5
58,3818096,PUREZA,58,5°32',35°32',-5.53,-35.53,60.0m,26.4,26.7,26.6,26.1,25.6,24.7,23.9,24,24.6,25.3,25.7,26.1,25.5,30.8,21.6,36.4,67.9,107.5,118.6,95.2,87.5,71.6,30.8,13,4.5,5.5,10.5,644.5
59,3818282,TAIPU,59,5°37',35°36',-5.62,-35.6,50.0m,26.6,26.8,26.7,26.2,25.7,24.8,24.1,24.2,24.9,25.6,26,26.3,25.7,31,21.6,40,86.6,149.2,164,134,134.2,98.7,46.5,20.9,7.4,8.7,12.8,860.7
60,3818301,JARDIMDEANGICOS,60,5°39',36',-5.65,-36,150.0m,26.4,26.4,26.3,25.8,25.3,24.4,23.9,24,24.7,25.4,25.8,26.1,25.4,31.2,21.2,32.7,65.6,110.4,111.4,74.8,58.3,40.7,17.1,6.5,2.1,3,6.6,528.7
61,3818352,CRAVOSSTPOCOBRANCO,61,5°40',35°45',-5.67,-35.75,100.0m,26.5,26.6,26.5,26,25.5,24.6,24,24.1,24.7,25.5,25.9,26.2,25.5,31,21.4,36.5,63.9,124.6,136.9,115.7,96.8,97.8,43.5,28,7.3,7,13.3,786.5
62,3818778,S.PEDRO,62,5°52',35°37',-5.87,-35.62,75.0m,26.6,26.7,26.5,26,25.5,24.6,24,24.2,24.9,25.6,26,26.4,25.6,31,21.5,24.4,60.8,92.7,136.6,95.7,91.3,86.6,36.1,12.7,3.3,6,11.2,662.9
63,3818847,S.PAULODOPOTENGI,63,5°54',35°46',-5.9,-35.77,97.0m,26.6,26.6,26.5,26,25.5,24.6,24.1,24.2,24.9,25.7,26.1,26.4,25.6,31.1,21.4,28.3,53.3,101.3,103.2,85.1,78.6,61.5,28.4,13.2,5.4,5.3,10.1,557.2
64,3818914,BARCELONA,64,5°57',35°56',-5.95,-35.93,149.0m,26.4,26.4,26.2,25.8,25.3,24.4,23.9,24.1,24.8,25.5,26,26.3,25.4,31.2,21.1,32,74.9,120.6,128,89.4,57.7,53.3,22.8,14.2,1.7,3.9,13.9,617.2
65,3818989,BOMJESUS,65,5°59',35°34',-5.98,-35.57,89.0m,26.5,26.6,26.4,25.9,25.4,24.5,23.9,24,24.7,25.5,25.9,26.3,25.5,30.9,21.3,35.8,66,148.4,176.8,127.1,105.5,117.5,44.5,30.7,5.9,8.4,18.8,913.9
66,3819156,JACUMA,66,5°35',35°14',-5.58,-35.23,5.0m,26.4,26.8,26.8,26.2,25.7,24.8,23.9,24,24.6,25.4,25.7,26.1,25.5,30.5,21.8,44.3,105.2,183.5,228.8,257,256.6,257,112.5,52.4,14.8,21.5,27.4,1549.3
