FID,POSTO,ESTACAO,ESTACAO_ID,LAT,LONG,LAT_DECIMAIS,LONG_DECIMAIS,ALT,T_MED_JAN,T_MED_FEV,T_MED_MAR,T_MED_ABR,T_MED_MAI,T_MED_JUN,T_MED_JUL,T_MED_AGO,T_MED_SET,T_MED_OUT,T_MED_NOV,T_MED_DEZ,T_MED_ANO,T_MAX_ANO,T_MIN_ANO,PRECIP_MD_JAN,PRECIP_MD_FEV,PRECIP_MD_MAR,PRECIP_MD_ABR,PRECIP_MD_MAI,PRECIP_MD_JUN,PRECIP_MD_JUL,PRECIP_MD_AGO,PRECIP_MD_SET,PRECIP_MD_OUT,PRECIP_MD_NOV,PRECIP_MD_DEZ,PRECIP_MD_ANO
67,3819216,CEARAMIRIM,67,5°38',35°26',-5.63,-35.43,40.0m,26.5,26.7,26.7,26.1,25.6,24.7,24,24.1,24.7,25.4,25.8,26.2,25.5,30.7,21.7,51.5,93.3,153.7,183.8,161.3,160.3,127.9,65.2,32.7,15.5,12.1,28.6,1079.9
68,3819536,S.GONCALODOAMARANTE,68,5°47',35°20',-5.78,-35.33,20.0m,26.6,26.8,26.7,26.2,25.7,24.8,24,24.1,24.8,25.5,25.9,26.3,25.6,30.7,21.7,72.6,144.3,202,215.1,180.6,201.9,153.1,74.4,40.7,17.1,18.4,26.2,1360.9
69,3819657,NATAL,69,5°48',35°13',-5.8,-35.22,8.0m,27.2,27.3,27.2,26.7,26.1,25,24.4,24.6,25.5,26.3,26.7,27,26.2,30.6,21.7,58.7,109.4,206.2,249.6,239.3,261.2,209.1,111.3,51.2,18,15.7,25,1562.7
70,3819731,MACAIBA,70,5°51',35°21',-5.85,-35.35,50.0m,26.7,26.9,26.7,26.1,25.4,24.3,23.7,23.9,24.6,25.3,26,26.4,25.5,30.7,21.5,48.7,88.2,150.5,176.4,160.7,158,117.3,67.3,28.1,12.7,16,24.1,1051.7
71,3823258,PAUDOSFERROS,71,6°7',38°13',-6.12,-38.22,175.0m,28.1,27.3,26.6,26.5,26.2,25.6,25.8,26.5,27.4,28.1,28.3,28.4,27.1,33.3,21.4,63.5,116.5,206.8,164.3,99.8,34.7,19.1,4.8,2.9,5.5,5.9,24.9,772
72,3823402,S.MIGUEL,72,6°13',38°30',-6.22,-38.5,605.0m,24.8,24.1,23.5,23.5,23.1,22.4,22.4,23,24.1,24.8,25,25.2,23.8,30.9,19,63.3,133.6,208.7,175.5,110.1,49.7,23.7,8.8,8.3,4.3,6.4,19.1,852.4
73,3823448,SANTANAPAUDOSFERROSAC,73,6°13',38°16',-6.22,-38.27,195.0m,28,27.2,26.5,26.4,26.1,25.5,25.6,26.4,27.4,28,28.3,28.3,27,33.3,21.3,82.8,118.4,229.7,208.1,117.3,45.7,29.2,6.5,5.1,6.5,6.6,26.5,917.4
74,3823517,BONITOAC,74,6°15',38°25',-6.25,-38.42,500.0m,25.7,24.9,24.3,24.3,23.9,23.2,23.2,23.8,24.9,25.6,25.8,26,24.6,31.8,19.6,76.7,133.9,223.5,202.9,125.5,55.3,39.3,7.3,7.6,7.8,9,26.6,901.6
75,3823569,MARCELINOVIEIRA,75,6°17',38°10',-6.28,-38.17,195.0m,27.9,27.2,26.5,26.4,26,25.5,25.6,26.3,27.3,28,28.2,28.3,26.9,33.2,21.2,81,131.4,229.5,173.4,98.9,25.9,17.1,2.9,2.9,6.5,7.5,26.4,795.5
76,3823744,ARAPUAAC,76,6°21',38°17',-6.35,-38.28,310.0m,27.1,26.3,25.8,25.6,25.3,24.7,24.7,25.4,26.4,27.1,27.4,27.5,26.1,32.9,20.6,88.6,142.7,221.8,201.7,114.3,45.5,26.6,7.9,7.3,10.5,10.7,34.2,918.8
77,3823822,LUIZGOMES,77,6°25',38°24',-6.42,-38.4,640.0m,24.6,23.9,23.3,23.3,22.8,22.1,22,22.6,23.8,24.6,24.8,25,23.6,30.6,18.8,83.7,134.2,236.8,185.8,108.6,60.6,34.4,11.6,6.7,10.6,17.9,32.8,929.6
78,3823898,ALEXANDRIA,78,6°25',38°1',-6.42,-38.02,315.0m,27,26.3,25.7,25.6,25.2,24.5,24.5,25.1,26.2,26.9,27.2,27.3,26,32.8,20.6,67.8,133.8,220,167.5,88.3,36.7,18.4,5,2.7,6.7,9.1,26.1,782.2
79,3823965,TENENTEANANIASGOMES,79,6°28',38°11',-6.47,-38.18,380.0m,26.6,25.8,25.3,25.2,24.7,24.1,24.1,24.7,25.8,26.5,26.8,26.9,25.5,32.6,20.3,85.7,152.3,199.8,189.2,106.7,43.2,27.7,7.6,2.2,9.1,11,25.8,867.2
80,3824119,MARTINS,80,6°5',37°55',-6.08,-37.92,645.0m,24.3,23.7,23.3,23.1,22.6,21.8,21.7,22.2,23.2,23.9,24.3,24.5,23.2,29.8,18.6,96.6,181.5,291.7,265.1,130,60.7,34.6,10.1,5.7,8.1,12.6,28.3,1106.8
81,3824238,LUCRECIA,81,6°7',37°49',-6.12,-37.82,235.0m,27.4,26.7,26.2,26,25.7,25,25,25.6,26.6,27.2,27.5,27.7,26.4,32.9,21,72.8,142.7,222.3,231.5,106,56,27.4,4.3,3.1,7.9,8.6,31.9,928.6
82,3824274,PATU,82,6°6',37°38',-6.1,-37.63,305.0m,26.8,26.2,25.7,25.5,25.1,24.4,24.3,24.9,25.8,26.4,26.7,27,25.7,32.4,20.6,71,131.8,236.7,210.1,113,44.9,22.5,7.1,5.3,5.9,7.4,24.4,880.2
83,3824309,CORREDORAC,83,6°11',37°58',-6.18,-37.97,270.0m,27.2,26.5,26,25.8,25.5,24.8,24.9,25.5,26.4,27.1,27.4,27.5,26.2,32.8,20.8,56.8,102.9,200.5,202.3,73.1,45.5,28.6,2.2,3.1,3.7,5.7,23.3,757.3
84,3824344,MILAGRESST,84,6°9',37°47',-6.15,-37.78,270.0m,27.1,26.5,25.9,25.8,25.4,24.7,24.7,25.3,26.2,26.9,27.2,27.4,26.1,32.7,20.8,76.3,131.5,250.3,239.3,108.3,62.3,39.7,6.9,4.3,7.8,10.5,33,961.7
85,3824542,JOAODIAS,85,6°16',37°48',-6.27,-37.8,310.0m,26.9,26.2,25.7,25.6,25.1,24.5,24.4,25,26,26.6,26.9,27.1,25.8,32.6,20.6,70.1,134.2,241.5,228.8,116.3,50.1,22.3,6.6,3.6,8.2,11.5,33.2,939.6
86,3825099,JUCURUTU,86,6°2',37°1',-6.03,-37.02,75.0m,28,27.5,27.1,26.8,26.4,25.7,25.6,26.2,27,27.6,28,28.2,27,32.7,21.7,64.3,126.6,220.4,205.9,111,40.4,24.6,7.6,4.5,4.2,9.2,28.5,851.1
87,3825124,MARACANAU,87,6°3',37°23',-6.05,-37.38,320.0m,26.5,26,25.5,25.3,24.9,24.2,24,24.5,25.4,26,26.4,26.6,25.4,32.1,20.4,61.4,130.1,227.2,207.7,113.4,30.8,14.6,2.7,2.2,3.5,1.2,18.8,742.2
88,3825374,OITICICAAC,88,6°9',37°8',-6.15,-37.13,80.0m,28.1,27.6,27.1,26.8,26.4,25.8,25.7,26.3,27.1,27.8,28.1,28.3,27.1,32.8,21.7,58.6,121.7,191.6,182.1,100,49.9,26.4,6.9,4.4,6.8,5.9,25.8,811.6
89,3825733,JARDIMDEPIRANHAS,89,6°23',37°21',-6.38,-37.35,130.0m,28,27.4,26.9,26.6,26.2,25.5,25.5,26.1,27,27.7,28.1,28.3,26.9,32.9,21.4,66.3,139,224.1,177.2,80.8,34.2,18.9,5.1,1.7,5.4,6.5,24.3,794.5
90,3825766,S.FERNANDO,90,6°23',37°11',-6.38,-37.18,135.0m,27.9,27.3,26.8,26.5,26.1,25.4,25.3,25.9,26.8,27.5,27.9,28.1,26.8,32.8,21.4,51.8,124.2,198.4,178.5,73.6,40.5,33.7,5.5,3.7,3.4,5.6,33.4,765.5
91,3825789,MUNDONOVOAC,91,6°23',37°4',-6.38,-37.07,180.0m,27.4,26.9,26.4,26.2,25.7,25,24.9,25.4,26.3,27,27.4,27.6,26.3,32.5,21.1,48.3,120.1,190,176.5,71.7,29.7,18.2,4,1.5,2.2,5.3,27.4,714.4
92,3825941,LAGOINHAAC,92,6°27',37°18',-6.45,-37.3,120.0m,28.1,27.4,26.9,26.7,26.3,25.6,25.6,26.2,27.1,27.8,28.1,28.3,27,32.9,21.4,48.6,126.5,173.4,173,67.3,35.2,21.9,5.5,0.2,6.5,3.8,23,732.5
93,3825981,CAICO,93,6°27',37°6',-6.45,-37.1,143.0m,27.8,27.2,26.7,26.5,26,25.3,25.2,25.7,26.7,27.4,27.7,28,26.7,32.7,21.3,60.2,115.8,184.6,172,67.7,26,15.9,4.8,1.8,4,5.8,29.7,684.8
94,3825989,ITANSAC,94,6°29',37°4',-6.48,-37.07,140.0m,27.8,27.2,26.7,26.5,26,25.3,25.2,25.7,26.7,27.4,27.7,28,26.7,32.7,21.3,48.6,86.7,190,141.4,71.5,25.8,14.4,4.6,1.1,3.9,5.2,28.5,628.4
95,3826078,S.JOSEDAPASSAGEM,95,6°1',36°37',-6.02,-36.62,420.0m,25.2,25,24.7,24.4,23.8,22.9,22.5,22.7,23.5,24.3,24.8,25.1,24.1,30.4,19.8,41.4,102.4,155.4,187.4,65.8,13.6,18.8,3.2,0.7,0.3,0.5,9.3,596
96,3826237,FLORANEA,96,6°60',36°49',-6.1,-36.82,210.0m,26.91,26.53,26.14,25.88,25.41,24.63,24.4,24.79,25.62,26.29,26.69,26.97,25.86,32.09,20.94,53,120.4,212.4,171.7,94.6,35.1,32.4,6.6,3.5,11,7.6,21.3,752
97,3826238,FLORANIA,97,6°7',36°49',-6.12,-36.82,210.0m,26.9,26.5,26.1,25.9,25.4,24.6,24.4,24.8,25.6,26.3,26.7,27,25.9,32.1,20.9,50,112.3,184,152.2,70.2,29.1,16.4,5.2,1.9,5.6,7.1,21.8,657
98,3826465,S.VICENTE,98,6°13',36°41',-6.22,-36.68,320.0m,26,25.7,25.4,25.1,24.6,23.7,23.4,23.7,24.6,25.3,25.7,26,24.9,31.4,20.3,41.7,79.4,150.4,143.4,70.2,27.6,23.7,7.5,1.8,3.4,6.1,18.3,572.4
99,3826494,TOTORO,99,6°12',36°32',-6.2,-36.53,400.0m,25.3,25.1,24.8,24.5,23.9,23,22.6,22.8,23.7,24.5,25,25.3,24.2,30.6,19.9,47.8,79,120.9,181,62.7,43.7,36,6.7,2.1,9.2,4.6,24.2,636.8
100,3826598,CURRAISNOVOS,100,6°16',36°31',-6.27,-36.52,350.0m,25.7,25.5,25.2,24.9,24.3,23.4,23,23.3,24.1,24.9,25.4,25.7,24.6,31,20.1,30.3,73.1,115,116.7,55.2,22.5,15.8,6,1.7,3.5,3.3,12,457.3
101,3826844,CRUZETA,101,6°24',36°47',-6.4,-36.78,140.0m,27.51,27.03,26.62,26.35,25.87,25.1,24.93,25.4,26.27,26.97,27.38,27.64,26.42,32.39,21.25,51,97.2,154.3,168.9,58.3,22,25.9,3.5,3.1,3.2,4.5,14.4,615.6
102,3826845,CRUZETAAC,102,6°25',36°47',-6.42,-36.78,140.0m,28.1,27.4,26.8,26.5,25.9,25.8,25.1,25.8,26.8,27.4,27.9,28.1,26.8,32.4,21.3,48.5,92.2,151.8,144.3,61,25.8,18,4.7,2.3,3.1,7,19.6,578.4
103,3826884,GARGALHEIRASAC,103,6°24',36°35',-6.4,-36.58,330.0m,25.9,25.7,25.3,25,24.4,23.6,23.2,23.5,24.4,25.2,25.7,26,24.8,31.3,20.2,41.9,76.2,140.9,131.3,45.9,22.6,16.1,3,1.9,3.2,3.1,13.1,528.6
104,3827131,CERROCORA,104,6°3',36°21',-6.05,-36.35,590.0m,23.7,23.8,23.6,23.1,22.4,21.3,20.8,21,21.7,22.7,23.3,23.5,22.6,28.2,18.8,41.5,67.5,140.8,147,66.5,50.5,30.8,8.5,3.6,1.8,3.9,8.7,578.5
105,3827207,LAGOANOVA,105,6°6',36°28',-6.1,-36.47,700.0m,23,23,22.8,22.3,21.6,20.5,20,20.2,21,22,22.7,22.9,21.8,27,18.1,38.6,87.5,115.8,174.8,74.8,35.5,53.6,11.7,3.4,8.6,0.7,16.6,711
106,3827353,SERRADODOUTOR,106,6°11',36°15',-6.18,-36.25,520.0m,24.2,24.2,24,23.6,22.9,21.8,21.3,21.5,22.2,23.2,23.7,24,23,28.9,19.1,29.3,77.1,133.4,147.3,96.4,71.6,63.9,28.7,12.8,9.5,8.2,12.3,709.5
107,3827399,INHAREAC,107,6°11',36°1',-6.18,-36.02,180.0m,26.4,26.3,26.1,25.7,25.1,24.2,23.8,24,24.8,25.5,26,26.3,25.4,31.2,20.9,25.5,56.2,113.8,146,76.1,50.8,54,22.7,11,1.1,3.6,14.2,569.5
108,3827466,CAMPOREDONDO,108,6°14',36°11',-6.23,-36.18,400.0m,25,24.97,24.75,24.35,23.7,22.72,22.19,22.38,23.16,24.01,24.56,24.88,23.89,30.02,19.8,33.1,99.2,205.8,200,111.6,81.9,91,31.3,22.9,9.6,7.9,23.6,896.1
109,3827499,STA.CRUZ,109,6°14',36°1',-6.23,-36.02,240.0m,26,25.9,25.7,25.3,24.7,23.8,23.3,23.5,24.3,25.1,25.6,25.9,24.9,30.9,20.6,29.3,54,102.4,118.8,65.9,53.7,39.2,17.9,7.5,4.5,5,11.5,514.5
110,3827759,CORONELEZEQUIEL,110,6°23',36°13',-6.38,-36.22,610.0m,23.6,23.6,23.4,22.9,22.2,21.1,20.5,20.7,21.5,22.5,23.2,23.5,22.4,28,18.6,46.8,80.4,142.7,208.1,81.2,33.8,49.7,17.6,8.5,8.3,5.8,25.8,719.4
111,3828261,SERRACAIADA,111,6°6',35°42',-6.1,-35.7,110.0m,26.5,26.5,26.4,25.9,25.4,24.5,23.9,24.1,24.8,25.6,26,26.4,25.5,31,21.2,24,51.4,88.2,105,79.2,78,61.3,27.6,11.1,3.3,5.4,9.6,547.8
112,3828384,JANUARIOCICCO,112,6°9',35°35',-6.15,-35.58,90.0m,26.6,26.6,26.4,26,25.4,24.5,23.9,24.1,24.8,25.6,26,26.4,25.5,30.9,21.3,32.8,59.6,105.8,129.1,105.4,104.2,92.4,42.8,23.3,5.7,10.8,15.5,739.5
113,3828443,TRAIRIAC,113,6°14',35°48',-6.23,-35.8,130.0m,26.6,26.5,26.3,25.9,25.3,24.4,23.9,24.1,24.9,25.6,26.1,26.4,25.5,31.1,21.1,30.8,49.5,98.5,122.6,64.2,44.3,53.9,21.5,14.2,4.1,6.2,16.1,530.3
114,3828569,JAPIIIACS.JOSEDECAMPESTRE,114,6°17',35°40',-6.28,-35.67,190.0m,26,26,25.9,25.4,24.8,23.9,23.3,23.4,24.2,25,25.5,25.8,24.9,30.6,20.8,31.1,63,87.2,115.2,59.6,43.1,49.9,15.2,10.2,4.6,5.1,16.1,527
115,3828875,SERRADES.BENTO,115,6°25',35°38',-6.42,-35.63,600.0m,22.19,23.04,23.17,22.25,21.32,20.02,18.94,18.82,19.35,20.67,21.45,21.63,21.07,25.14,18.57,45.4,71.2,134.1,118.9,92.7,89.9,84.8,44.4,34.4,8,10.1,23.2,807.6
116,3828915,JAPI,116,6°28',35°56',-6.47,-35.93,400.0m,24.8,24.9,24.7,24.2,23.5,22.5,21.9,22.1,22.9,23.8,24.4,24.7,23.7,29.7,19.7,28.4,74.3,145.5,120.5,63.7,38.7,47.3,16,8.1,4.2,7.8,10.8,540.6
117,3829155,S.JOSEDOMIPIBU,117,6°4',35°14',-6.07,-35.23,50.0m,26.4,26.6,26.5,25.9,25.4,24.5,23.7,23.8,24.5,25.3,25.8,26.1,25.4,30.5,21.4,59.4,99.3,174.5,191.7,184.1,206.1,167.3,77.2,39,16.5,19.2,33.8,1281.3
118,3829205,LAGOASALGADA,118,6°7',35°29',-6.12,-35.48,105.0m,26.3,26.4,26.3,25.8,25.2,24.3,23.7,23.8,24.5,25.3,25.8,26.1,25.3,30.7,21.2,39.5,76.2,107.6,129.1,136.6,135.5,91.7,47.5,26.8,3.2,5.3,16.4,890.1
119,3829562,GOIANINHAC.EX.GOIANINHA,119,6°16',35°12',-6.27,-35.2,25.0m,26.2,26.52,26.5,25.89,25.33,24.39,23.58,23.62,24.27,25.09,25.52,25.87,25.23,30.15,21.53,55.6,97.5,145.5,200,157.6,188.5,190.8,82.9,53.9,18.6,19.6,25.6,1254.2
120,3829607,STO.ANTONIO,120,6°18',35°28',-6.3,-35.47,95.0m,26.4,26.5,26.3,25.9,25.3,24.4,23.7,23.9,24.6,25.4,25.9,26.3,25.4,30.8,21.2,31.8,67,111.6,135.3,130.4,121.5,102,48.1,17.5,5.5,6.6,10.7,792.2
121,3829665,GOIANINHA,121,6°19',35°11',-6.32,-35.18,25.0m,26.56,26.68,26.57,26.05,25.47,24.56,23.89,24.04,24.75,25.55,26.01,26.37,25.54,30.52,21.46,37.6,74.2,127.7,188.3,136,207.5,214.7,116.9,48.4,12,20.6,18.2,1196.1
122,3829779,CANGUARETAMA,122,6°23',35°7',-6.38,-35.12,48.0m,26.3,26.5,26.4,25.9,25.3,24.3,23.6,23.8,24.5,25.3,25.8,26.1,25.3,30.4,21.3,61.2,102,171.8,205.8,201.4,216.6,163.8,92.8,51.2,23.4,26.7,35.1,1364
123,3829915,NOVACRUZ,123,6°28',35°26',-6.47,-35.43,90.0m,27,26.7,26.6,25.8,24.9,23.9,23.3,23.6,24.7,25.8,26.5,26.9,25.5,30.8,21.2,38,63.7,114.2,133.2,111.6,103.3,79,42.6,20.1,9.9,12.2,12,746.7
124,3829954,PEDROVELHO,124,6°27',35°14',-6.45,-35.23,30.0m,26.6,26.7,26.6,26.1,25.5,24.6,23.9,24.1,24.8,25.6,26.1,26.5,25.6,30.6,21.4,54.3,89.6,147.8,185.3,148.5,171.7,160.8,72.2,41,14.2,21,26.1,1137.2
125,3835322,SERRANEGRADONORTE,125,6°40',37°24',-6.67,-37.4,160.0m,27.9,27.2,26.7,26.5,26,25.3,25.3,25.9,26.9,27.6,28,28.2,26.8,32.9,21.3,70.4,140,203.5,184.8,74.6,24.7,15.2,3.1,1.9,4.4,15.1,20.2,758.1
126,3835398,PALMACAICO,126,6°40',37°1',-6.67,-37.02,190.0m,27.4,26.9,26.4,26.2,25.7,24.9,24.7,25.3,26.2,27,27.4,27.6,26.3,32.5,21,49.7,129.7,180.1,194.6,52.9,30.6,17.8,4,2.6,3,4.7,26.9,731
127,3835462,S.JOAODOSABUGI,127,6°43',37°12',-6.72,-37.2,175.0m,27.7,27.1,26.6,26.4,25.8,25.1,25,25.6,26.6,27.3,27.7,27.9,26.6,32.8,21.1,54.2,113.2,191.3,158.2,64.1,19.9,10.3,2.6,1.3,2.8,9.6,21.7,636.7
128,3836146,JARDIMDOSERIDO,128,6°35',36°47',-6.58,-36.78,220.0m,27,26.5,26.1,25.9,25.3,24.5,24.3,24.7,25.6,26.4,26.8,27.1,25.9,32.2,20.8,53.5,104.3,159.7,135.3,49.6,19.6,12.6,4,1.9,2.7,6.1,25.5,571.4
129,3836254,ZANGARELHAS,129,6°36',36°44',-6.6,-36.73,250.0m,26.7,26.3,25.9,25.7,25.1,24.3,24,24.4,25.3,26.1,26.5,26.8,25.6,32,20.6,53.9,121.9,182,168.8,45.6,22.4,20,4.8,1.7,2.3,4.3,23.9,651.3
130,3836369,PARELHAS,130,6°41',36°40',-6.68,-36.67,325.0m,26.1,25.8,25.4,25.1,24.5,23.6,23.3,23.7,24.6,25.4,25.9,26.2,25,31.5,20.2,47.6,113.5,161.7,138.2,43.9,18.7,9.5,3.8,2.7,4.1,6.2,20.4,561
131,3836411,OUROBRANCO,131,6°42',36°57',-6.7,-36.95,195.0m,27.3,26.8,26.4,26.1,25.6,24.8,24.6,25.1,26.1,26.8,27.3,27.5,26.2,32.5,21,43.6,104.4,167.8,143.7,56.4,21.6,12.7,2.3,2.4,2.7,6.4,24.3,590.8
132,3836449,UMARIPRETO,132,6°44',36°46',-6.73,-36.77,280.0m,26.6,26.1,25.7,25.5,24.9,24,23.8,24.2,25.1,25.9,26.4,26.7,25.4,31.9,20.5,39.1,107.3,224.7,145,59.9,32.6,7.9,2.3,0.5,4.8,7.6,26.1,666.6
133,3836957,EQUADOR,133,6°57',36°43',-6.95,-36.72,500.0m,25,24.6,24.3,24,23.3,22.3,21.9,22.2,23.2,24.2,24.7,25,23.7,30.4,19.3,29.6,75.9,125.6,103.3,36,18.6,8.8,2,1.5,2.5,5.5,17.5,459
134,3837101,RIACHOFUNDOFZCARNAUBASDOSDANTAS,134,6°33',36°30',-6.55,-36.5,500.0m,24.7,24.5,24.2,23.8,23.2,22.2,21.7,22,22.9,23.8,24.4,24.7,23.5,29.8,19.29,31.8,70.3,125.9,108.6,50.8,29.8,16.4,2.2,0.7,2.6,1.8,12.8,594.2
